REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 tmp1.wav	 tmp2.wav	 SQValue=1.476	 1.476	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.825	 1.825	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.975	 1.975	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.075	 2.075	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.129	 2.129	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.249	 2.249	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.529	 2.529	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.878	 2.878	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.660	 3.660	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.063	 4.063	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.286	 4.286	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.963	 1.963	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.458	 2.458	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.929	 2.929	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.213	 3.213	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.334	 3.334	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.378	 3.378	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.400	 3.400	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.406	 3.406	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.408	 3.408	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.407	 3.407	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.408	 3.408	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.002	 2.002	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.542	 2.542	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.996	 2.996	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.237	 3.237	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.528	 3.528	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.597	 3.597	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.622	 3.622	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.623	 3.623	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.626	 3.626	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.626	 3.626	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.627	 3.627	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.423	 1.423	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.633	 1.633	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.836	 1.836	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.958	 1.958	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.987	 1.987	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.130	 2.130	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.297	 2.297	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.758	 2.758	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.541	 3.541	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.961	 3.961	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.347	 4.347	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.101	 2.101	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.604	 2.604	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.150	 3.150	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.675	 3.675	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.794	 3.794	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.885	 3.885	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.843	 3.843	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.820	 3.820	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.822	 3.822	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.820	 3.820	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.820	 3.820	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.084	 2.084	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.602	 2.602	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.142	 3.142	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.833	 3.833	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.033	 4.033	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.149	 4.149	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.169	 4.169	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.189	 4.189	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.190	 4.190	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.191	 4.191	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.192	 4.192	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.120	 1.120	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.418	 1.418	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.611	 1.611	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.747	 1.747	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.800	 1.800	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.094	 2.094	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.333	 2.333	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.691	 2.691	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.564	 3.564	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.007	 4.007	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.300	 4.300	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.844	 1.844	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.410	 2.410	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.926	 2.926	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.307	 3.307	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.510	 3.510	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.611	 3.611	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.616	 3.616	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.617	 3.617	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.617	 3.617	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.619	 3.619	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.619	 3.619	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.810	 1.810	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.432	 2.432	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.995	 2.995	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.347	 3.347	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.670	 3.670	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.880	 3.880	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.931	 3.931	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.953	 3.953	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.962	 3.962	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.963	 3.963	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.964	 3.964	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.031	 1.031	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.404	 1.404	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.615	 1.615	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.736	 1.736	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.821	 1.821	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.989	 1.989	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.245	 2.245	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.621	 2.621	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.613	 3.613	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.934	 3.934	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.268	 4.268	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.659	 1.659	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.299	 2.299	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.934	 2.934	 0.000	 0	 16000	0.0000
