DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 tmp2.wav	 2.130	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.297	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.758	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.541	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.961	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.347	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.101	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.604	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.150	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.675	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.794	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.885	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.843	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.820	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.822	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.820	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.820	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.084	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.602	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.142	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.833	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.033	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.149	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.169	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.189	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.190	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.191	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.192	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.120	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.418	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.611	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.747	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.800	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.094	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.333	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.691	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.564	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.007	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.300	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.844	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.410	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.926	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.307	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.510	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.611	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.616	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.617	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.617	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.619	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.619	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.810	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.432	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.995	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.347	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.670	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.880	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.931	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.953	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.962	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.963	 0.000	 0	 16000	0.0000
